attribute,value,xid
Size,0,attr_size_0
Size,1,attr_size_1
Size,1.5,attr_size_1.5
Size,10,attr_size_10
Size,10.5,attr_size_10.5
Size,100,attr_size_100
Size,105,attr_size_105
Size,11,attr_size_11
Size,11.5,attr_size_11.5
Size,110,attr_size_110
Size,115,attr_size_115
Size,12,attr_size_12
Size,12.5,attr_size_12.5
Size,120,attr_size_120
Size,13,attr_size_13
Size,13.5,attr_size_13.5
Size,135,attr_size_135
Size,14,attr_size_14
Size,14.5,attr_size_14.5
Size,15,attr_size_15
Size,15.5,attr_size_15.5
Size,16,attr_size_16
Size,16.5,attr_size_16.5
Size,17.5,attr_size_17.5
Size,2,attr_size_2
Size,2.5,attr_size_2.5
Size,22,attr_size_22
Size,23,attr_size_23
Size,24,attr_size_24
Size,25,attr_size_25
Size,26,attr_size_26
Size,27,attr_size_27
Size,28,attr_size_28
Size,29,attr_size_29
Size,2XL,attr_size_2XL
Size,3,attr_size_3
Size,3.5,attr_size_3.5
Size,30,attr_size_30
Size,31,attr_size_31
Size,32,attr_size_32
Size,33,attr_size_33
Size,34,attr_size_34
Size,35,attr_size_35
Size,36,attr_size_36
Size,37,attr_size_37
Size,38,attr_size_38
Size,39,attr_size_39
Size,3XL,attr_size_3XL
Size,4,attr_size_4
Size,4.5,attr_size_4.5
Size,40,attr_size_40
Size,41,attr_size_41
Size,42,attr_size_42
Size,43,attr_size_43
Size,44,attr_size_44
Size,45,attr_size_45
Size,46,attr_size_46
Size,47,attr_size_47
Size,48,attr_size_48
Size,49,attr_size_49
Size,4XL,attr_size_4XL
Size,5,attr_size_5
Size,5.5,attr_size_5.5
Size,50,attr_size_50
Size,6,attr_size_6
Size,6.5,attr_size_6.5
Size,60,attr_size_60
Size,65,attr_size_65
Size,7,attr_size_7
Size,7.5,attr_size_7.5
Size,70,attr_size_70
Size,75,attr_size_75
Size,8,attr_size_8
Size,8.5,attr_size_8.5
Size,80,attr_size_80
Size,85,attr_size_85
Size,9,attr_size_9
Size,9.5,attr_size_9.5
Size,90,attr_size_90
Size,95,attr_size_95
Size,L,attr_size_L
Size,M,attr_size_M
Size,OS,attr_size_OS
Size,S,attr_size_S
Size,XL,attr_size_XL
Size,XS,attr_size_XS
Size,XXL,attr_size_XXL
Size,XXS,attr_size_XXS
Size,XXXL,attr_size_XXXL
Inseam,10,attr_inseam_10
Inseam,11,attr_inseam_11
Inseam,12,attr_inseam_12
Inseam,25,attr_inseam_25
Inseam,26,attr_inseam_26
Inseam,27,attr_inseam_27
Inseam,28,attr_inseam_28
Inseam,29,attr_inseam_29
Inseam,30,attr_inseam_30
Inseam,31,attr_inseam_31
Inseam,32,attr_inseam_32
Inseam,33,attr_inseam_33
Inseam,34,attr_inseam_34
Inseam,35,attr_inseam_35
Inseam,36,attr_inseam_36
Inseam,37,attr_inseam_37
Inseam,38,attr_inseam_38
Inseam,39,attr_inseam_39
Inseam,40,attr_inseam_40
Inseam,6,attr_inseam_6
Inseam,7,attr_inseam_7
Inseam,8,attr_inseam_8
Inseam,9,attr_inseam_9
Inseam,T,attr_inseam_T
